Sample_ID,Question,Answer,Label
2,Are the leaves thinner or smaller than normal?,0,0
2,Is there any rust-colored powder on the leaves?,0,0
2,Do you notice any leaf veins turning red or purple?,1,0
2,Are the leaves brittle and breaking easily?,1,0
2,Is the plant showing signs of nutrient deficiency?,1,0
2,Are there any whiteflies or aphids on the leaves?,0,0
2,Do the leaves have translucent patches?,1,0
2,Is there a sticky substance attracting ants?,0,0
2,Are the leaves clustered tightly together unusually?,1,0
2,Is the leaf surface rough or bumpy?,0,0
2,Are the plants less productive than usual?,1,0
2,Do you see any holes forming in the leaf blades?,0,0
2,Are the edges of the leaves curling upward?,0,0
2,Do you notice any faint yellow halos around spots?,0,0
2,Is there excessive moisture or dew on the leaves?,1,0
2,Are the leaves uneven in size and shape?,1,0
2,Do you see any leaves that look scorched or sunburned?,1,0
2,Are the leaves losing their natural shine?,0,0
2,Is there a sticky film on the leaf surface?,1,0
2,Do the affected leaves wilt faster during hot weather?,0,0
2,Are any parts of the leaf transparent or thin?,1,0
2,Do you notice any fungus-like growth near leaf stems?,0,0
2,Are the leaves changing color faster than normal?,1,0
2,Is the plant less vigorous than healthy plants?,1,0
2,Do you observe any yellowing around leaf margins?,1,0
2,Are the leaves curling unevenly or asymmetrically?,0,0
2,Do you see any spots that look oily or greasy?,1,0
3,Are the leaves turning yellow starting from the tips?,1,0
3,Do you notice any brown streaks on the leaf veins?,1,0
3,Is there a sticky residue on the leaf surface?,1,0
3,Are the leaves curling inward or downward?,1,0
3,Do you see any tiny white spots on the leaves?,0,0
3,Is there a foul or unusual smell from the leaves?,1,0
3,Are the leaf edges turning brown or dry?,1,0
3,Do the leaves have patches of light green or pale color?,1,0
3,Is the plant growth slower than usual?,0,0
3,Are the leaves falling off prematurely?,1,0
3,Do you see black fungal spots on the leaves?,0,0
3,Are ants or other insects frequently found on the leaves?,1,0
3,Is there any powdery white coating on the leaves?,0,0
3,Do you see small holes or eaten parts on the leaves?,1,0
3,Are the younger leaves affected more than older ones?,0,0
3,Is there any sticky honeydew on the underside of leaves?,0,0
3,Do the leaves feel brittle or dry to touch?,0,0
3,Are there any web-like structures on the leaves?,0,0
3,Is there any mold or mildew on the leaf surface?,1,0
3,Are the leaves drooping or wilted during the day?,1,0
3,Do you see any yellow rings or spots on the leaves?,0,0
3,Are the leaves thinner or smaller than normal?,1,0
3,Is there any rust-colored powder on the leaves?,0,0
3,Do you notice any leaf veins turning red or purple?,1,0
3,Are the leaves brittle and breaking easily?,0,0
3,Is the plant showing signs of nutrient deficiency?,1,0
3,Are there any whiteflies or aphids on the leaves?,1,0
3,Do the leaves have translucent patches?,1,0
3,Is there a sticky substance attracting ants?,0,0
3,Are the leaves clustered tightly together unusually?,1,0
3,Is the leaf surface rough or bumpy?,1,0
3,Are the plants less productive than usual?,1,0
3,Do you see any holes forming in the leaf blades?,0,0
3,Are the edges of the leaves curling upward?,0,0
3,Do you notice any faint yellow halos around spots?,0,0
3,Is there excessive moisture or dew on the leaves?,1,0
3,Are the leaves uneven in size and shape?,1,0
3,Do you see any leaves that look scorched or sunburned?,1,0
3,Are the leaves losing their natural shine?,1,0
3,Is there a sticky film on the leaf surface?,1,0
3,Do the affected leaves wilt faster during hot weather?,0,0
3,Are any parts of the leaf transparent or thin?,1,0
3,Do you notice any fungus-like growth near leaf stems?,0,0
3,Are the leaves changing color faster than normal?,1,0
3,Is the plant less vigorous than healthy plants?,0,0
3,Do you observe any yellowing around leaf margins?,1,0
3,Are the leaves curling unevenly or asymmetrically?,0,0
3,Do you see any spots that look oily or greasy?,1,0
4,Are the leaves turning yellow starting from the tips?,1,1
4,Do you notice any brown streaks on the leaf veins?,1,1
4,Is there a sticky residue on the leaf surface?,1,1
4,Are the leaves curling inward or downward?,0,1
4,Do you see any tiny white spots on the leaves?,1,1
4,Is there a foul or unusual smell from the leaves?,0,1
4,Are the leaf edges turning brown or dry?,1,1
4,Do the leaves have patches of light green or pale color?,0,1
4,Is the plant growth slower than usual?,1,1
4,Are the leaves falling off prematurely?,0,1
4,Do you see black fungal spots on the leaves?,1,1
4,Are ants or other insects frequently found on the leaves?,1,1
4,Is there any powdery white coating on the leaves?,1,1
4,Do you see small holes or eaten parts on the leaves?,1,1
4,Are the younger leaves affected more than older ones?,1,1
4,Is there any sticky honeydew on the underside of leaves?,0,1
4,Do the leaves feel brittle or dry to touch?,1,1
4,Are there any web-like structures on the leaves?,0,1
4,Is there any mold or mildew on the leaf surface?,1,1
4,Are the leaves drooping or wilted during the day?,1,1
4,Do you see any yellow rings or spots on the leaves?,0,1
4,Are the leaves thinner or smaller than normal?,0,1
4,Is there any rust-colored powder on the leaves?,1,1
4,Do you notice any leaf veins turning red or purple?,0,1
4,Are the leaves brittle and breaking easily?,1,1
4,Is the plant showing signs of nutrient deficiency?,0,1
4,Are there any whiteflies or aphids on the leaves?,0,1
4,Do the leaves have translucent patches?,0,1
4,Is there a sticky substance attracting ants?,1,1
4,Are the leaves clustered tightly together unusually?,0,1
4,Is the leaf surface rough or bumpy?,1,1
4,Are the plants less productive than usual?,0,1
4,Do you see any holes forming in the leaf blades?,0,1
4,Are the edges of the leaves curling upward?,0,1
4,Do you notice any faint yellow halos around spots?,1,1
4,Is there excessive moisture or dew on the leaves?,0,1
4,Are the leaves uneven in size and shape?,1,1
4,Do you see any leaves that look scorched or sunburned?,0,1
4,Are the leaves losing their natural shine?,1,1
4,Is there a sticky film on the leaf surface?,1,1
4,Do the affected leaves wilt faster during hot weather?,1,1
4,Are any parts of the leaf transparent or thin?,1,1
4,Do you notice any fungus-like growth near leaf stems?,1,1
4,Are the leaves changing color faster than normal?,0,1
4,Is the plant less vigorous than healthy plants?,1,1
4,Do you observe any yellowing around leaf margins?,0,1
4,Are the leaves curling unevenly or asymmetrically?,1,1
4,Do you see any spots that look oily or greasy?,1,1
5,Are the leaves turning yellow starting from the tips?,0,0
5,Do you notice any brown streaks on the leaf veins?,1,0
5,Is there a sticky residue on the leaf surface?,1,0
5,Are the leaves curling inward or downward?,1,0
5,Do you see any tiny white spots on the leaves?,0,0
5,Is there a foul or unusual smell from the leaves?,1,0
5,Are the leaf edges turning brown or dry?,0,0
5,Do the leaves have patches of light green or pale color?,1,0
5,Is the plant growth slower than usual?,0,0
5,Are the leaves falling off prematurely?,1,0
5,Do you see black fungal spots on the leaves?,0,0
5,Are ants or other insects frequently found on the leaves?,0,0
5,Is there any powdery white coating on the leaves?,1,0
5,Do you see small holes or eaten parts on the leaves?,1,0
5,Are the younger leaves affected more than older ones?,0,0
5,Is there any sticky honeydew on the underside of leaves?,1,0
5,Do the leaves feel brittle or dry to touch?,0,0
5,Are there any web-like structures on the leaves?,1,0
5,Is there any mold or mildew on the leaf surface?,0,0
5,Are the leaves drooping or wilted during the day?,1,0
5,Do you see any yellow rings or spots on the leaves?,1,0
5,Are the leaves thinner or smaller than normal?,0,0
5,Is there any rust-colored powder on the leaves?,0,0
5,Do you notice any leaf veins turning red or purple?,1,0
5,Are the leaves brittle and breaking easily?,0,0
5,Is the plant showing signs of nutrient deficiency?,1,0
5,Are there any whiteflies or aphids on the leaves?,0,0
5,Do the leaves have translucent patches?,0,0
5,Is there a sticky substance attracting ants?,0,0
5,Are the leaves clustered tightly together unusually?,1,0
5,Is the leaf surface rough or bumpy?,1,0
5,Are the plants less productive than usual?,1,0
5,Do you see any holes forming in the leaf blades?,0,0
5,Are the edges of the leaves curling upward?,1,0
5,Do you notice any faint yellow halos around spots?,0,0
5,Is there excessive moisture or dew on the leaves?,0,0
5,Are the leaves uneven in size and shape?,0,0
5,Do you see any leaves that look scorched or sunburned?,1,0
5,Are the leaves losing their natural shine?,0,0
5,Is there a sticky film on the leaf surface?,1,0
5,Do the affected leaves wilt faster during hot weather?,1,0
5,Are any parts of the leaf transparent or thin?,1,0
5,Do you notice any fungus-like growth near leaf stems?,0,0
5,Are the leaves changing color faster than normal?,0,0
5,Is the plant less vigorous than healthy plants?,0,0
5,Do you observe any yellowing around leaf margins?,0,0
5,Are the leaves curling unevenly or asymmetrically?,0,0
5,Do you see any spots that look oily or greasy?,1,0
6,Are the leaves turning yellow starting from the tips?,1,0
6,Do you notice any brown streaks on the leaf veins?,1,0
6,Is there a sticky residue on the leaf surface?,0,0
6,Are the leaves curling inward or downward?,1,0
6,Do you see any tiny white spots on the leaves?,0,0
6,Is there a foul or unusual smell from the leaves?,0,0
6,Are the leaf edges turning brown or dry?,0,0
6,Do the leaves have patches of light green or pale color?,1,0
6,Is the plant growth slower than usual?,0,0
6,Are the leaves falling off prematurely?,1,0
6,Do you see black fungal spots on the leaves?,0,0
6,Are ants or other insects frequently found on the leaves?,1,0
6,Is there any powdery white coating on the leaves?,0,0
6,Do you see small holes or eaten parts on the leaves?,1,0
6,Are the younger leaves affected more than older ones?,0,0
6,Is there any sticky honeydew on the underside of leaves?,1,0
6,Do the leaves feel brittle or dry to touch?,0,0
6,Are there any web-like structures on the leaves?,1,0
6,Is there any mold or mildew on the leaf surface?,0,0
6,Are the leaves drooping or wilted during the day?,0,0
6,Do you see any yellow rings or spots on the leaves?,0,0
6,Are the leaves thinner or smaller than normal?,1,0
6,Is there any rust-colored powder on the leaves?,1,0
6,Do you notice any leaf veins turning red or purple?,1,0
6,Are the leaves brittle and breaking easily?,0,0
6,Is the plant showing signs of nutrient deficiency?,1,0
6,Are there any whiteflies or aphids on the leaves?,0,0
6,Do the leaves have translucent patches?,1,0
6,Is there a sticky substance attracting ants?,0,0
6,Are the leaves clustered tightly together unusually?,1,0
6,Is the leaf surface rough or bumpy?,1,0
6,Are the plants less productive than usual?,1,0
6,Do you see any holes forming in the leaf blades?,0,0
6,Are the edges of the leaves curling upward?,1,0
6,Do you notice any faint yellow halos around spots?,0,0
6,Is there excessive moisture or dew on the leaves?,1,0
6,Are the leaves uneven in size and shape?,0,0
6,Do you see any leaves that look scorched or sunburned?,1,0
6,Are the leaves losing their natural shine?,0,0
6,Is there a sticky film on the leaf surface?,1,0
6,Do the affected leaves wilt faster during hot weather?,0,0
6,Are any parts of the leaf transparent or thin?,1,0
6,Do you notice any fungus-like growth near leaf stems?,0,0
6,Are the leaves changing color faster than normal?,1,0
6,Is the plant less vigorous than healthy plants?,0,0
6,Do you observe any yellowing around leaf margins?,1,0
6,Are the leaves curling unevenly or asymmetrically?,0,0
6,Do you see any spots that look oily or greasy?,1,0
7,Are the leaves turning yellow starting from the tips?,1,1
7,Do you notice any brown streaks on the leaf veins?,0,1
7,Is there a sticky residue on the leaf surface?,1,1
7,Are the leaves curling inward or downward?,0,1
7,Do you see any tiny white spots on the leaves?,0,1
7,Is there a foul or unusual smell from the leaves?,1,1
7,Are the leaf edges turning brown or dry?,1,1
7,Do the leaves have patches of light green or pale color?,0,1
7,Is the plant growth slower than usual?,1,1
7,Are the leaves falling off prematurely?,1,1
7,Do you see black fungal spots on the leaves?,1,1
7,Are ants or other insects frequently found on the leaves?,1,1
7,Is there any powdery white coating on the leaves?,1,1
7,Do you see small holes or eaten parts on the leaves?,0,1
7,Are the younger leaves affected more than older ones?,1,1
7,Is there any sticky honeydew on the underside of leaves?,0,1
7,Do the leaves feel brittle or dry to touch?,0,1
7,Are there any web-like structures on the leaves?,0,1
7,Is there any mold or mildew on the leaf surface?,1,1
7,Are the leaves drooping or wilted during the day?,0,1
7,Do you see any yellow rings or spots on the leaves?,1,1
7,Are the leaves thinner or smaller than normal?,0,1
7,Is there any rust-colored powder on the leaves?,1,1
7,Do you notice any leaf veins turning red or purple?,0,1
7,Are the leaves brittle and breaking easily?,0,1
7,Is the plant showing signs of nutrient deficiency?,0,1
7,Are there any whiteflies or aphids on the leaves?,0,1
7,Do the leaves have translucent patches?,1,1
7,Is there a sticky substance attracting ants?,1,1
7,Are the leaves clustered tightly together unusually?,1,1
7,Is the leaf surface rough or bumpy?,1,1
7,Are the plants less productive than usual?,0,1
7,Do you see any holes forming in the leaf blades?,1,1
7,Are the edges of the leaves curling upward?,0,1
7,Do you notice any faint yellow halos around spots?,1,1
7,Is there excessive moisture or dew on the leaves?,0,1
7,Are the leaves uneven in size and shape?,1,1
7,Do you see any leaves that look scorched or sunburned?,1,1
7,Are the leaves losing their natural shine?,1,1
7,Is there a sticky film on the leaf surface?,1,1
7,Do the affected leaves wilt faster during hot weather?,1,1
7,Are any parts of the leaf transparent or thin?,0,1
7,Do you notice any fungus-like growth near leaf stems?,1,1
7,Are the leaves changing color faster than normal?,0,1
7,Is the plant less vigorous than healthy plants?,0,1
7,Do you observe any yellowing around leaf margins?,0,1
7,Are the leaves curling unevenly or asymmetrically?,1,1
7,Do you see any spots that look oily or greasy?,0,1
8,Are the leaves turning yellow starting from the tips?,0,0
8,Do you notice any brown streaks on the leaf veins?,1,0
8,Is there a sticky residue on the leaf surface?,0,0
8,Are the leaves curling inward or downward?,1,0
8,Do you see any tiny white spots on the leaves?,0,0
8,Is there a foul or unusual smell from the leaves?,1,0
8,Are the leaf edges turning brown or dry?,0,0
8,Do the leaves have patches of light green or pale color?,1,0
8,Is the plant growth slower than usual?,0,0
8,Are the leaves falling off prematurely?,1,0
8,Do you see black fungal spots on the leaves?,0,0
8,Are ants or other insects frequently found on the leaves?,0,0
8,Is there any powdery white coating on the leaves?,0,0
8,Do you see small holes or eaten parts on the leaves?,1,0
8,Are the younger leaves affected more than older ones?,0,0
8,Is there any sticky honeydew on the underside of leaves?,0,0
8,Do the leaves feel brittle or dry to touch?,0,0
8,Are there any web-like structures on the leaves?,1,0
8,Is there any mold or mildew on the leaf surface?,1,0
8,Are the leaves drooping or wilted during the day?,0,0
8,Do you see any yellow rings or spots on the leaves?,0,0
8,Are the leaves thinner or smaller than normal?,0,0
8,Is there any rust-colored powder on the leaves?,0,0
8,Do you notice any leaf veins turning red or purple?,1,0
8,Are the leaves brittle and breaking easily?,0,0
8,Is the plant showing signs of nutrient deficiency?,0,0
8,Are there any whiteflies or aphids on the leaves?,0,0
8,Do the leaves have translucent patches?,1,0
8,Is there a sticky substance attracting ants?,1,0
8,Are the leaves clustered tightly together unusually?,1,0
8,Is the leaf surface rough or bumpy?,0,0
8,Are the plants less productive than usual?,1,0
8,Do you see any holes forming in the leaf blades?,0,0
8,Are the edges of the leaves curling upward?,1,0
8,Do you notice any faint yellow halos around spots?,0,0
8,Is there excessive moisture or dew on the leaves?,1,0
8,Are the leaves uneven in size and shape?,0,0
8,Do you see any leaves that look scorched or sunburned?,1,0
8,Are the leaves losing their natural shine?,1,0
8,Is there a sticky film on the leaf surface?,1,0
8,Do the affected leaves wilt faster during hot weather?,0,0
8,Are any parts of the leaf transparent or thin?,1,0
8,Do you notice any fungus-like growth near leaf stems?,1,0
8,Are the leaves changing color faster than normal?,1,0
8,Is the plant less vigorous than healthy plants?,1,0
8,Do you observe any yellowing around leaf margins?,1,0
8,Are the leaves curling unevenly or asymmetrically?,0,0
8,Do you see any spots that look oily or greasy?,0,0
9,Are the leaves turning yellow starting from the tips?,1,1
9,Do you notice any brown streaks on the leaf veins?,0,1
9,Is there a sticky residue on the leaf surface?,1,1
9,Are the leaves curling inward or downward?,0,1
9,Do you see any tiny white spots on the leaves?,1,1
9,Is there a foul or unusual smell from the leaves?,0,1
9,Are the leaf edges turning brown or dry?,0,1
9,Do the leaves have patches of light green or pale color?,0,1
9,Is the plant growth slower than usual?,1,1
9,Are the leaves falling off prematurely?,0,1
9,Do you see black fungal spots on the leaves?,0,1
9,Are ants or other insects frequently found on the leaves?,0,1
9,Is there any powdery white coating on the leaves?,1,1
9,Do you see small holes or eaten parts on the leaves?,0,1
9,Are the younger leaves affected more than older ones?,1,1
9,Is there any sticky honeydew on the underside of leaves?,0,1
9,Do the leaves feel brittle or dry to touch?,1,1
9,Are there any web-like structures on the leaves?,0,1
9,Is there any mold or mildew on the leaf surface?,1,1
9,Are the leaves drooping or wilted during the day?,0,1
9,Do you see any yellow rings or spots on the leaves?,0,1
9,Are the leaves thinner or smaller than normal?,0,1
9,Is there any rust-colored powder on the leaves?,1,1
9,Do you notice any leaf veins turning red or purple?,0,1
9,Are the leaves brittle and breaking easily?,1,1
9,Is the plant showing signs of nutrient deficiency?,0,1
9,Are there any whiteflies or aphids on the leaves?,1,1
9,Do the leaves have translucent patches?,0,1
9,Is there a sticky substance attracting ants?,1,1
9,Are the leaves clustered tightly together unusually?,1,1
9,Is the leaf surface rough or bumpy?,1,1
9,Are the plants less productive than usual?,0,1
9,Do you see any holes forming in the leaf blades?,1,1
9,Are the edges of the leaves curling upward?,0,1
9,Do you notice any faint yellow halos around spots?,1,1
9,Is there excessive moisture or dew on the leaves?,0,1
9,Are the leaves uneven in size and shape?,1,1
9,Do you see any leaves that look scorched or sunburned?,0,1
9,Are the leaves losing their natural shine?,1,1
9,Is there a sticky film on the leaf surface?,0,1
9,Do the affected leaves wilt faster during hot weather?,1,1
9,Are any parts of the leaf transparent or thin?,0,1
9,Do you notice any fungus-like growth near leaf stems?,1,1
9,Are the leaves changing color faster than normal?,0,1
9,Is the plant less vigorous than healthy plants?,1,1
9,Do you observe any yellowing around leaf margins?,0,1
9,Are the leaves curling unevenly or asymmetrically?,1,1
9,Do you see any spots that look oily or greasy?,0,1
10,Are the leaves turning yellow starting from the tips?,1,1
10,Do you notice any brown streaks on the leaf veins?,0,1
10,Is there a sticky residue on the leaf surface?,0,1
10,Are the leaves curling inward or downward?,0,1
10,Do you see any tiny white spots on the leaves?,1,1
10,Is there a foul or unusual smell from the leaves?,0,1
10,Are the leaf edges turning brown or dry?,0,1
10,Do the leaves have patches of light green or pale color?,0,1
10,Is the plant growth slower than usual?,1,1
10,Are the leaves falling off prematurely?,0,1
10,Do you see black fungal spots on the leaves?,1,1
10,Are ants or other insects frequently found on the leaves?,0,1
10,Is there any powdery white coating on the leaves?,1,1
10,Do you see small holes or eaten parts on the leaves?,0,1
10,Are the younger leaves affected more than older ones?,1,1
10,Is there any sticky honeydew on the underside of leaves?,1,1
10,Do the leaves feel brittle or dry to touch?,1,1
10,Are there any web-like structures on the leaves?,0,1
10,Is there any mold or mildew on the leaf surface?,1,1
10,Are the leaves drooping or wilted during the day?,0,1
10,Do you see any yellow rings or spots on the leaves?,1,1
10,Are the leaves thinner or smaller than normal?,1,1
10,Is there any rust-colored powder on the leaves?,1,1
10,Do you notice any leaf veins turning red or purple?,1,1
10,Are the leaves brittle and breaking easily?,0,1
10,Is the plant showing signs of nutrient deficiency?,0,1
10,Are there any whiteflies or aphids on the leaves?,1,1
10,Do the leaves have translucent patches?,0,1
10,Is there a sticky substance attracting ants?,1,1
10,Are the leaves clustered tightly together unusually?,0,1
10,Is the leaf surface rough or bumpy?,1,1
10,Are the plants less productive than usual?,0,1
10,Do you see any holes forming in the leaf blades?,1,1
10,Are the edges of the leaves curling upward?,0,1
10,Do you notice any faint yellow halos around spots?,1,1
10,Is there excessive moisture or dew on the leaves?,0,1
10,Are the leaves uneven in size and shape?,1,1
10,Do you see any leaves that look scorched or sunburned?,1,1
10,Are the leaves losing their natural shine?,1,1
10,Is there a sticky film on the leaf surface?,1,1
10,Do the affected leaves wilt faster during hot weather?,1,1
10,Are any parts of the leaf transparent or thin?,0,1
10,Do you notice any fungus-like growth near leaf stems?,1,1
10,Are the leaves changing color faster than normal?,1,1
10,Is the plant less vigorous than healthy plants?,1,1
10,Do you observe any yellowing around leaf margins?,1,1
10,Are the leaves curling unevenly or asymmetrically?,1,1
10,Do you see any spots that look oily or greasy?,1,1
11,Are the leaves turning yellow starting from the tips?,0,0
11,Do you notice any brown streaks on the leaf veins?,1,0
11,Is there a sticky residue on the leaf surface?,0,0
11,Are the leaves curling inward or downward?,0,0
11,Do you see any tiny white spots on the leaves?,0,0
11,Is there a foul or unusual smell from the leaves?,1,0
11,Are the leaf edges turning brown or dry?,0,0
11,Do the leaves have patches of light green or pale color?,1,0
11,Is the plant growth slower than usual?,0,0
11,Are the leaves falling off prematurely?,1,0
11,Do you see black fungal spots on the leaves?,1,0
11,Are ants or other insects frequently found on the leaves?,1,0
11,Is there any powdery white coating on the leaves?,0,0
11,Do you see small holes or eaten parts on the leaves?,1,0
11,Are the younger leaves affected more than older ones?,0,0
11,Is there any sticky honeydew on the underside of leaves?,0,0
11,Do the leaves feel brittle or dry to touch?,1,0
11,Are there any web-like structures on the leaves?,1,0
11,Is there any mold or mildew on the leaf surface?,0,0
11,Are the leaves drooping or wilted during the day?,0,0
11,Do you see any yellow rings or spots on the leaves?,0,0
11,Are the leaves thinner or smaller than normal?,0,0
11,Is there any rust-colored powder on the leaves?,1,0
11,Do you notice any leaf veins turning red or purple?,1,0
11,Are the leaves brittle and breaking easily?,0,0
11,Is the plant showing signs of nutrient deficiency?,1,0
11,Are there any whiteflies or aphids on the leaves?,0,0
11,Do the leaves have translucent patches?,1,0
11,Is there a sticky substance attracting ants?,0,0
11,Are the leaves clustered tightly together unusually?,1,0
11,Is the leaf surface rough or bumpy?,1,0
11,Are the plants less productive than usual?,1,0
11,Do you see any holes forming in the leaf blades?,0,0
11,Are the edges of the leaves curling upward?,1,0
11,Do you notice any faint yellow halos around spots?,0,0
11,Is there excessive moisture or dew on the leaves?,1,0
11,Are the leaves uneven in size and shape?,1,0
11,Do you see any leaves that look scorched or sunburned?,1,0
11,Are the leaves losing their natural shine?,0,0
11,Is there a sticky film on the leaf surface?,0,0
11,Do the affected leaves wilt faster during hot weather?,0,0
11,Are any parts of the leaf transparent or thin?,1,0
11,Do you notice any fungus-like growth near leaf stems?,1,0
11,Are the leaves changing color faster than normal?,1,0
11,Is the plant less vigorous than healthy plants?,0,0
11,Do you observe any yellowing around leaf margins?,1,0
11,Are the leaves curling unevenly or asymmetrically?,0,0
11,Do you see any spots that look oily or greasy?,1,0
12,Are the leaves turning yellow starting from the tips?,0,0
12,Do you notice any brown streaks on the leaf veins?,1,0
12,Is there a sticky residue on the leaf surface?,0,0
12,Are the leaves curling inward or downward?,1,0
12,Do you see any tiny white spots on the leaves?,0,0
12,Is there a foul or unusual smell from the leaves?,1,0
12,Are the leaf edges turning brown or dry?,0,0
12,Do the leaves have patches of light green or pale color?,1,0
12,Is the plant growth slower than usual?,0,0
12,Are the leaves falling off prematurely?,1,0
12,Do you see black fungal spots on the leaves?,0,0
12,Are ants or other insects frequently found on the leaves?,1,0
12,Is there any powdery white coating on the leaves?,0,0
12,Do you see small holes or eaten parts on the leaves?,1,0
12,Are the younger leaves affected more than older ones?,0,0
12,Is there any sticky honeydew on the underside of leaves?,1,0
12,Do the leaves feel brittle or dry to touch?,0,0
12,Are there any web-like structures on the leaves?,1,0
12,Is there any mold or mildew on the leaf surface?,0,0
12,Are the leaves drooping or wilted during the day?,1,0
12,Do you see any yellow rings or spots on the leaves?,0,0
12,Are the leaves thinner or smaller than normal?,1,0
12,Is there any rust-colored powder on the leaves?,1,0
12,Do you notice any leaf veins turning red or purple?,1,0
12,Are the leaves brittle and breaking easily?,0,0
12,Is the plant showing signs of nutrient deficiency?,1,0
12,Are there any whiteflies or aphids on the leaves?,1,0
12,Do the leaves have translucent patches?,1,0
12,Is there a sticky substance attracting ants?,0,0
12,Are the leaves clustered tightly together unusually?,1,0
12,Is the leaf surface rough or bumpy?,0,0
12,Are the plants less productive than usual?,1,0
12,Do you see any holes forming in the leaf blades?,1,0
12,Are the edges of the leaves curling upward?,1,0
12,Do you notice any faint yellow halos around spots?,0,0
12,Is there excessive moisture or dew on the leaves?,1,0
12,Are the leaves uneven in size and shape?,0,0
12,Do you see any leaves that look scorched or sunburned?,1,0
12,Are the leaves losing their natural shine?,0,0
12,Is there a sticky film on the leaf surface?,1,0
12,Do the affected leaves wilt faster during hot weather?,0,0
12,Are any parts of the leaf transparent or thin?,1,0
12,Do you notice any fungus-like growth near leaf stems?,0,0
12,Are the leaves changing color faster than normal?,1,0
12,Is the plant less vigorous than healthy plants?,0,0
12,Do you observe any yellowing around leaf margins?,1,0
12,Are the leaves curling unevenly or asymmetrically?,1,0
12,Do you see any spots that look oily or greasy?,1,0
13,Are the leaves turning yellow starting from the tips?,0,1
13,Do you notice any brown streaks on the leaf veins?,0,1
13,Is there a sticky residue on the leaf surface?,1,1
13,Are the leaves curling inward or downward?,0,1
13,Do you see any tiny white spots on the leaves?,1,1
13,Is there a foul or unusual smell from the leaves?,0,1
13,Are the leaf edges turning brown or dry?,1,1
13,Do the leaves have patches of light green or pale color?,0,1
13,Is the plant growth slower than usual?,0,1
13,Are the leaves falling off prematurely?,0,1
13,Do you see black fungal spots on the leaves?,1,1
